                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8695,                0.95904,                  1.132,                0.79173,                0.63333,                0.72892,                0.28892,                 2.1671,                 1.0184,                  1.203,                0.00054,                0.00054,                0.00054
                      2,                 1.5096,                0.75943,                 1.0196,                0.93193,                0.91268,                 0.9329,                0.45211,                 1.6784,                0.82545,                 1.0734,              0.0010891,              0.0010891,              0.0010891
                      3,                 1.5324,                0.75759,                 0.9956,                 0.9549,                0.87778,                0.92788,                0.42826,                 1.6866,                0.80414,                 1.0838,              0.0016271,              0.0016271,              0.0016271
                      4,                 1.3963,                0.69102,                0.97697,                0.85089,                0.85556,                0.90884,                0.47661,                 1.6198,                0.79763,                 1.0502,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3873,                0.71786,                0.97279,                 0.9498,                0.85556,                0.89891,                0.44607,                 1.6652,                0.83777,                 1.0604,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.3664,                0.72206,                0.95969,                0.96265,                0.91111,                0.94351,                0.48083,                 1.6684,                0.80263,                 1.1227,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.3465,                0.72219,                0.96946,                0.92908,                0.84444,                0.91114,                0.48731,                 1.6514,                0.75004,                 1.1043,               0.001901,               0.001901,               0.001901
                      8,                  1.364,                0.68526,                0.96666,                0.98555,                0.87778,                0.97412,                0.54983,                 1.4561,                0.70121,                 1.0683,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3066,                0.65129,                0.94329,                0.97385,                0.92222,                0.96485,                 0.5048,                 1.5785,                0.69273,                 1.1214,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.3225,                 0.6455,                0.95907,                0.97587,                0.89888,                0.94151,                0.49936,                 1.6105,                0.72057,                 1.0997,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.3133,                0.67731,                0.94758,                0.98327,                0.85556,                0.92826,                0.46894,                 1.7164,                0.77448,                 1.1563,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2846,                0.63492,                0.92869,                0.98518,                0.86667,                0.93089,                 0.5246,                 1.6163,                0.75057,                 1.0776,               0.001802,               0.001802,               0.001802
                     13,                 1.2804,                0.62542,                0.94006,                0.98405,                0.86667,                0.94561,                0.51925,                 1.6192,                0.70881,                  1.077,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2208,                0.61943,                0.91769,                0.98762,                0.88616,                 0.9449,                0.55068,                 1.5504,                0.76918,                 1.0628,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.1944,                  0.605,                0.93682,                0.98086,                0.87778,                 0.9317,                0.54009,                 1.5072,                0.78254,                 1.0348,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2421,                 0.6157,                0.95579,                0.98804,                0.91827,                0.95691,                0.51652,                 1.5589,                0.72663,                 1.0588,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2082,                0.59723,                0.92382,                0.98789,                0.90652,                0.96001,                0.51125,                 1.6188,                0.77001,                 1.0442,               0.001703,               0.001703,               0.001703
                     18,                 1.2386,                0.64266,                0.90793,                0.97321,                    0.9,                 0.9596,                0.54316,                 1.5324,                 0.6899,                 1.0453,              0.0016832,              0.0016832,              0.0016832
                     19,                 1.2244,                 0.6145,                0.91374,                0.95316,                0.90444,                0.94337,                0.51219,                 1.5804,                0.74724,                 1.0317,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.2522,                0.60073,                0.93726,                0.92007,                0.92222,                0.95217,                0.54176,                 1.5171,                0.69728,                 1.0647,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.2249,                0.61268,                0.91937,                0.97288,                0.93333,                0.96098,                0.54597,                  1.481,                0.66712,                 1.0412,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1318,                0.57128,                0.90022,                0.95332,                0.90775,                0.93989,                0.52292,                 1.5299,                0.80411,                 1.0579,               0.001604,               0.001604,               0.001604
                     23,                 1.1637,                0.57438,                0.90818,                0.96195,                    0.9,                0.92619,                 0.5272,                 1.5556,                0.78236,                 1.0904,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1428,                0.57811,                0.90006,                  0.921,                0.92222,                0.93226,                0.55276,                 1.4791,                0.73495,                 1.0591,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1464,                0.56351,                0.91514,                0.98429,                0.91111,                 0.9631,                0.57309,                 1.4639,                0.61726,                 1.0208,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1869,                0.56872,                0.91903,                0.94395,                0.95556,                0.97653,                0.58064,                 1.4385,                0.61345,                   1.02,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1212,                0.58036,                 0.9119,                0.95374,                0.92222,                0.95921,                0.55788,                 1.4646,                0.61666,                 1.0396,               0.001505,               0.001505,               0.001505
                     28,                 1.1198,                0.56016,                 0.9113,                0.95347,                0.91077,                0.94808,                0.54749,                 1.4959,                0.65167,                 1.0402,              0.0014852,              0.0014852,              0.0014852
                     29,                  1.093,                0.51821,                0.90373,                0.98496,                0.92222,                0.96461,                0.54929,                 1.4926,                0.66155,                 1.0394,              0.0014654,              0.0014654,              0.0014654
                     30,                  1.143,                0.57771,                 0.9012,                0.98832,                0.94005,                0.97125,                0.55943,                 1.4957,                0.63561,                 1.0377,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.0982,                0.54319,                0.90269,                0.98605,                0.93333,                 0.9741,                0.58263,                 1.5032,                0.68463,                 1.0437,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.0923,                0.56417,                0.90926,                0.97673,                0.93285,                0.97162,                0.58233,                 1.4601,                0.64794,                 1.0249,               0.001406,               0.001406,               0.001406
                     33,                 1.1002,                0.54316,                0.91837,                0.97498,                0.91111,                0.97061,                0.59336,                 1.4559,                0.59653,                 1.0126,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.1183,                0.53421,                0.89854,                 0.9751,                0.94444,                0.97762,                0.55456,                 1.5257,                0.61744,                 1.0262,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.1859,                0.55431,                0.91177,                0.97528,                0.93333,                0.95993,                0.55185,                 1.5013,                 0.6788,                 1.0151,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1109,                0.54301,                0.89736,                0.96471,                0.94444,                0.95298,                0.54589,                 1.4847,                0.67015,                 1.0118,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0463,                0.51654,                0.88736,                0.98596,                0.94444,                0.98607,                 0.5771,                 1.4712,                0.60847,                  1.023,               0.001307,               0.001307,               0.001307
                     38,                 1.0759,                0.51566,                0.88633,                0.97698,                 0.9432,                 0.9525,                0.53818,                 1.4759,                0.62329,                 1.0289,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1061,                0.53654,                0.89336,                0.95973,                0.94444,                0.96844,                0.53723,                 1.5152,                0.61576,                 1.0304,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.1078,                0.55088,                0.89653,                0.97765,                0.97208,                0.98743,                0.59876,                 1.3869,                 0.5981,                 1.0031,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0314,                0.52345,                0.88333,                0.95869,                0.96667,                0.98394,                0.59188,                 1.4175,                0.59905,                 1.0019,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0157,                0.49931,                0.89504,                0.95502,                0.94373,                0.96641,                0.57746,                 1.4275,                0.59019,                  1.005,               0.001208,               0.001208,               0.001208
                     43,                 1.0184,                0.50848,                0.88143,                0.93041,                0.97778,                0.98215,                 0.5622,                 1.4221,                0.60596,                 1.0208,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0011,                0.49856,                0.86353,                 0.9885,                0.95537,                 0.9753,                0.58839,                 1.4351,                0.59374,                 1.0352,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0063,                0.49398,                0.90014,                0.98513,                0.93333,                0.96239,                0.58672,                 1.4527,                0.62775,                 1.0338,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.0285,                0.51635,                0.87742,                0.97645,                0.93333,                0.94863,                0.59686,                 1.4119,                 0.6786,                 1.0144,              0.0011288,              0.0011288,              0.0011288
                     47,                0.98972,                0.51134,                0.89337,                0.95629,                0.97248,                0.97491,                0.61284,                 1.4076,                0.62985,                 1.0009,               0.001109,               0.001109,               0.001109
                     48,                 1.0214,                 0.5244,                0.88159,                0.94465,                0.96667,                0.97096,                0.61439,                 1.4072,                0.60864,                 1.0063,              0.0010892,              0.0010892,              0.0010892
                     49,                0.97645,                0.47631,                 0.8671,                0.98806,                0.91935,                0.96482,                0.58915,                  1.444,                0.66551,                 1.0236,              0.0010694,              0.0010694,              0.0010694
                     50,                0.97504,                0.48128,                0.88266,                0.97695,                0.94184,                0.97065,                0.59447,                  1.443,                0.61952,                 1.0137,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0141,                0.49734,                0.88697,                0.96109,                0.94444,                0.96434,                0.58562,                 1.4481,                0.63209,                 1.0414,              0.0010298,              0.0010298,              0.0010298
                     52,                0.99325,                0.49099,                0.88984,                0.98831,                0.95556,                0.97364,                0.58935,                 1.4028,                0.60807,                 1.0264,                0.00101,                0.00101,                0.00101
                     53,                0.91582,                0.46539,                0.86801,                0.98727,                0.97778,                0.97709,                0.61218,                 1.3642,                0.56376,                 1.0101,              0.0009902,              0.0009902,              0.0009902
                     54,                0.97426,                0.48889,                0.86335,                 0.9844,                0.93333,                0.96082,                0.59249,                 1.3632,                0.55006,                 1.0013,              0.0009704,              0.0009704,              0.0009704
                     55,                0.88608,                0.45612,                 0.8731,                 0.9777,                0.97438,                 0.9785,                0.57547,                 1.4285,                0.57433,                 1.0013,              0.0009506,              0.0009506,              0.0009506
                     56,                0.95281,                0.46029,                0.86256,                0.97493,                0.97778,                0.98183,                0.59501,                 1.4002,                0.56761,                 1.0004,              0.0009308,              0.0009308,              0.0009308
                     57,                0.95848,                0.48111,                0.86841,                0.97522,                0.96667,                 0.9748,                0.61816,                 1.3568,                0.55955,                0.99254,               0.000911,               0.000911,               0.000911
                     58,                0.94567,                0.46043,                0.86154,                0.98862,                0.96492,                0.97623,                0.59176,                 1.3911,                0.57998,                0.99952,              0.0008912,              0.0008912,              0.0008912
                     59,                0.97187,                0.47777,                0.87154,                0.98592,                0.95556,                0.97565,                0.60844,                 1.4045,                0.59581,                 1.0056,              0.0008714,              0.0008714,              0.0008714
                     60,                0.93438,                0.47196,                0.85096,                0.98641,                0.92222,                0.96181,                0.59555,                 1.3959,                  0.633,                0.99071,              0.0008516,              0.0008516,              0.0008516
                     61,                0.97069,                0.46807,                0.88709,                0.97717,                0.95116,                0.96948,                0.61165,                 1.3776,                0.61413,                0.98975,              0.0008318,              0.0008318,              0.0008318
                     62,                 0.9401,                0.45604,                0.85527,                0.97251,                0.94444,                0.95831,                0.60369,                 1.3873,                0.63149,                0.98916,               0.000812,               0.000812,               0.000812
                     63,                0.95393,                 0.4847,                0.86612,                0.96988,                0.95556,                 0.9694,                0.59989,                 1.4024,                0.58191,                0.99857,              0.0007922,              0.0007922,              0.0007922
                     64,                0.94524,                0.45139,                 0.8743,                0.96701,                0.97701,                 0.9738,                0.60636,                 1.3762,                0.55364,                0.99715,              0.0007724,              0.0007724,              0.0007724
                     65,                0.93717,                0.46582,                0.85643,                0.98863,                0.96572,                0.97816,                0.61858,                 1.3468,                0.56295,                0.99305,              0.0007526,              0.0007526,              0.0007526
                     66,                0.91763,                 0.4447,                0.86726,                 0.9756,                0.96667,                0.97941,                0.61832,                 1.3697,                0.58577,                 0.9845,              0.0007328,              0.0007328,              0.0007328
                     67,                0.90863,                0.44919,                0.85766,                0.98656,                0.94444,                0.98037,                0.63058,                 1.3529,                0.56216,                0.99327,               0.000713,               0.000713,               0.000713
                     68,                0.89326,                0.45169,                0.87637,                0.97724,                0.95436,                0.98062,                0.62266,                 1.3879,                0.57524,                0.99735,              0.0006932,              0.0006932,              0.0006932
                     69,                0.90258,                0.44394,                0.85694,                0.98742,                0.94444,                 0.9722,                0.62928,                 1.3458,                0.58159,                0.98985,              0.0006734,              0.0006734,              0.0006734
                     70,                0.86332,                0.42947,                0.84669,                0.98795,                0.95556,                 0.9663,                0.64242,                 1.3396,                0.60858,                0.98356,              0.0006536,              0.0006536,              0.0006536
